id,Age,Citizenship,Status,Lifeboat,Adult.Minor,Sex,Survived,Pasajero,Class,Template
1,38,British,Married,No,Adult,Male,Lost,Crew,Band,(Pasajero (id 1)(sexo Male)(status Married)(adult Adult)(clase Band))
2,37,British,Married,No,Adult,Male,Lost,Crew,Band,(Pasajero (id 2)(sexo Male)(status Married)(adult Adult)(clase Band))
3,30,British,Married,No,Adult,Male,Saved,Crew,Band,(Pasajero (id 3)(sexo Male)(status Married)(adult Adult)(clase Band))
4,25,British,Married,No,Adult,Male,Saved,Crew,Band,(Pasajero (id 4)(sexo Male)(status Married)(adult Adult)(clase Band))
5,27,British,Married,No,Adult,Male,Saved,Crew,Band,(Pasajero (id 5)(sexo Male)(status Married)(adult Adult)(clase Band))
6,48,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 6)(sexo Male)(status Single)(adult Adult)(clase Deck))
7,32,Norwegian,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 7)(sexo Male)(status Single)(adult Adult)(clase Deck))
8,32,British,Single,Si,Adult,Male,Saved,Crew,Deck,(Pasajero (id 8)(sexo Male)(status Single)(adult Adult)(clase Deck))
9,24,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 9)(sexo Male)(status Single)(adult Adult)(clase Deck))
10,19,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 10)(sexo Male)(status Married)(adult Adult)(clase Deck))
11,57,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 11)(sexo Male)(status Married)(adult Adult)(clase Deck))
12,50,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 12)(sexo Male)(status Single)(adult Adult)(clase Deck))
13,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 13)(sexo Male)(status Married)(adult Adult)(clase Deck))
14,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 14)(sexo Male)(status Single)(adult Adult)(clase Deck))
15,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 15)(sexo Male)(status Married)(adult Adult)(clase Deck))
16,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 16)(sexo Male)(status Single)(adult Adult)(clase Deck))
17,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 17)(sexo Male)(status Single)(adult Adult)(clase Deck))
18,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 18)(sexo Male)(status Single)(adult Adult)(clase Deck))
19,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 19)(sexo Male)(status Married)(adult Adult)(clase Deck))
20,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 20)(sexo Male)(status Married)(adult Adult)(clase Deck))
21,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 21)(sexo Male)(status Married)(adult Adult)(clase Deck))
22,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 22)(sexo Male)(status Married)(adult Adult)(clase Deck))
23,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 23)(sexo Male)(status Married)(adult Adult)(clase Deck))
24,25,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 24)(sexo Male)(status Married)(adult Adult)(clase Deck))
25,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 25)(sexo Male)(status Single)(adult Adult)(clase Deck))
26,56,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 26)(sexo Male)(status Single)(adult Adult)(clase Deck))
27,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 27)(sexo Male)(status Married)(adult Adult)(clase Deck))
28,41,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 28)(sexo Male)(status Married)(adult Adult)(clase Deck))
29,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 29)(sexo Male)(status Married)(adult Adult)(clase Deck))
30,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 30)(sexo Male)(status Married)(adult Adult)(clase Deck))
31,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 31)(sexo Male)(status Single)(adult Adult)(clase Deck))
32,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 32)(sexo Male)(status Married)(adult Adult)(clase Deck))
33,19,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 33)(sexo Male)(status Married)(adult Adult)(clase Deck))
34,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 34)(sexo Male)(status Single)(adult Adult)(clase Deck))
35,33,British,Single,Si,Adult,Male,Saved,Crew,Deck,(Pasajero (id 35)(sexo Male)(status Single)(adult Adult)(clase Deck))
36,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 36)(sexo Male)(status Married)(adult Adult)(clase Deck))
37,32,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 37)(sexo Male)(status Single)(adult Adult)(clase Deck))
38,50,British,Otros,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 38)(sexo Male)(status Otros)(adult Adult)(clase Deck))
39,29,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 39)(sexo Male)(status Married)(adult Adult)(clase Deck))
40,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 40)(sexo Male)(status Married)(adult Adult)(clase Deck))
41,32,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 41)(sexo Male)(status Single)(adult Adult)(clase Deck))
42,38,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 42)(sexo Male)(status Single)(adult Adult)(clase Deck))
43,32,British,Otros,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 43)(sexo Male)(status Otros)(adult Adult)(clase Deck))
44,32,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 44)(sexo Male)(status Single)(adult Adult)(clase Deck))
45,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 45)(sexo Male)(status Married)(adult Adult)(clase Deck))
46,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 46)(sexo Male)(status Married)(adult Adult)(clase Deck))
47,18,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 47)(sexo Male)(status Single)(adult Adult)(clase Deck))
48,20,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 48)(sexo Male)(status Single)(adult Adult)(clase Deck))
49,21,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 49)(sexo Male)(status Married)(adult Adult)(clase Deck))
