"","brand","model","transmision","fuel","engine_capacity","Precio","Km"
"1","hyundai",2014,"Automatic","Petrol",1599,300000,165000
"2","hyundai",2004,"Automatic","Petrol",1600,230000,250000
"3","hyundai",2021,"Automatic","Petrol",1591,650000,82000
"4","hyundai",2023,"Manual","Diesel",2400,995000,0
"5","hyundai",1999,"Manual","Petrol",1500,138000,315000
"6","hyundai",2019,"Automatic","Petrol",1600,1200000,72000
"7","hyundai",2017,"Automatic","Petrol",1600,1000000,108000
"10","hyundai",2020,"Automatic","Petrol",1600,635000,57000
"11","hyundai",2021,"Automatic","Petrol",1600,1295000,41000
"12","hyundai",2005,"Manual","Petrol",1600,310000,265000
"13","hyundai",2010,"Manual","Petrol",1600,310000,120000
"14","hyundai",2011,"Automatic","Petrol",1600,480000,174000
"15","hyundai",2010,"Manual","Petrol",1100,310000,61000
"16","hyundai",2021,"Automatic","Petrol",1600,1300000,95000
"17","hyundai",2023,"Manual","Diesel",2400,995000,0
"18","hyundai",2014,"Manual","Petrol",1600,280000,200000
"19","hyundai",2019,"Automatic","Petrol",1591,570000,160000
"20","hyundai",2011,"Manual","Petrol",1600,530000,58000
"21","hyundai",2012,"Automatic","Petrol",1600,395000,247000
"22","hyundai",2017,"Manual","Petrol",1599,420000,5000
"23","hyundai",2017,"Automatic","Petrol",1197,475000,133000
"24","hyundai",2023,"Automatic","Petrol",1600,785000,14000
"25","hyundai",2019,"Automatic","Petrol",1600,1380000,98000
"26","hyundai",2019,"Automatic","Petrol",1600,1050000,105000
"27","hyundai",2020,"Automatic","Petrol",1400,640000,69000
"28","hyundai",2019,"Automatic","Petrol",1600,1350000,120000
"29","hyundai",2017,"Automatic","Petrol",1591,1000000,120000
"30","hyundai",2023,"Manual","Diesel",2400,995000,0
"31","hyundai",2021,"Automatic","Petrol",1597,699997,50000
"32","hyundai",2018,"Automatic","Petrol",1591,490000,110000
"33","hyundai",2009,"Manual","Petrol",1599,180000,153000
"34","hyundai",2009,"Manual","Petrol",1600,185000,156000
"35","hyundai",2016,"Automatic","Petrol",1250,450000,69000
"36","hyundai",2015,"Automatic","Petrol",1197,425000,59000
"37","hyundai",2012,"Automatic","Petrol",1600,468000,140000
"38","hyundai",2019,"Automatic","Petrol",1600,1250000,160000
"41","hyundai",2008,"Automatic","Petrol",1600,360000,100000
"42","hyundai",2012,"Automatic","Petrol",1600,365000,260000
"43","hyundai",2023,"Manual","Diesel",2400,995000,0
"44","hyundai",2016,"Automatic","Petrol",1600,800000,235000
"45","hyundai",2019,"Automatic","Petrol",1591,760000,216000
"46","hyundai",2014,"Manual","Petrol",1599,330000,25000
"47","hyundai",2019,"Automatic","Petrol",1591,520000,155000
"48","hyundai",2021,"Automatic","Petrol",1600,950000,39000
"49","hyundai",2018,"Manual","Petrol",1599,315000,130000
"50","hyundai",2016,"Automatic","Petrol",1600,870000,91000
"51","hyundai",2022,"Automatic","Petrol",1600,1700000,9000
"52","hyundai",2020,"Automatic","Petrol",1591,525000,89000
"53","hyundai",2021,"Automatic","Petrol",1591,1500000,40000
"54","hyundai",2014,"Manual","Petrol",1000,280000,103000
"55","hyundai",2017,"Automatic","Petrol",1591,615000,85000
"56","hyundai",2023,"Manual","Diesel",2400,995000,0
"57","hyundai",2019,"Automatic","Petrol",1600,630000,86000
"58","hyundai",2015,"Automatic","Petrol",1591,465000,130000
"59","hyundai",2022,"Automatic","Petrol",1600,1750000,38000
"60","hyundai",2015,"Automatic","Petrol",1591,500000,70000
"61","hyundai",2008,"Manual","Petrol",1599,190000,220000
"63","hyundai",2015,"Automatic","Petrol",1100,420000,103000
