"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.03.2025","13.025,50","13.360,00","13.446,00","12.996,04","298,92M","-2,41%"
"23.02.2025","13.347,30","12.970,60","13.347,30","12.927,20","808,12M","3,05%"
"16.02.2025","12.952,00","12.942,20","13.158,60","12.894,60","609,14M","-0,03%"
"09.02.2025","12.956,00","12.681,20","12.984,60","12.664,60","635,64M","2,10%"
"02.02.2025","12.688,90","12.114,20","12.775,60","12.101,30","771,01M","2,59%"
"26.01.2025","12.368,90","11.887,50","12.465,60","11.882,30","561,35M","3,22%"
"19.01.2025","11.982,60","11.921,10","12.050,30","11.843,60","580,66M","0,56%"
"12.01.2025","11.916,30","11.662,50","11.973,30","11.637,00","592,86M","1,67%"
"05.01.2025","11.720,90","11.693,00","11.904,20","11.613,70","578,56M","0,59%"
"29.12.2024","11.651,60","11.478,40","11.701,80","11.456,20","310,04M","1,04%"
"22.12.2024","11.531,60","11.462,40","11.531,60","11.399,10","214,58M","0,56%"
"15.12.2024","11.467,30","11.733,80","11.794,20","11.310,50","730,25M","-2,42%"
"08.12.2024","11.752,10","12.091,40","12.114,70","11.741,80","504,19M","-2,65%"
"01.12.2024","12.072,00","11.581,40","12.153,60","11.577,80","518,03M","3,70%"
"24.11.2024","11.641,30","11.732,70","11.767,60","11.486,10","655,77M","-0,13%"
"17.11.2024","11.656,60","11.640,80","11.720,70","11.428,00","595,65M","0,18%"
"10.11.2024","11.635,90","11.644,00","11.667,70","11.295,00","554,08M","0,73%"
"03.11.2024","11.551,60","11.823,20","11.892,10","11.461,20","766,27M","-2,46%"
"27.10.2024","11.843,00","11.863,90","11.962,50","11.615,40","615,87M","0,26%"
"20.10.2024","11.812,50","11.887,90","11.932,10","11.682,30","437,29M","-0,95%"
"13.10.2024","11.925,20","11.714,40","12.037,90","11.712,10","528,20M","1,75%"
"06.10.2024","11.720,00","11.707,60","11.781,20","11.589,00","440,15M","0,52%"
"29.09.2024","11.659,20","11.929,00","11.971,80","11.563,80","684,13M","-2,58%"
"22.09.2024","11.967,90","11.761,00","12.004,60","11.721,00","521,18M","1,83%"
"15.09.2024","11.753,30","11.518,20","11.826,70","11.510,00","739,18M","1,85%"
"08.09.2024","11.540,20","11.222,10","11.569,10","11.177,00","480,88M","3,29%"
"01.09.2024","11.173,00","11.395,30","11.429,40","11.138,80","487,50M","-2,01%"
"25.08.2024","11.401,90","11.266,93","11.446,25","11.240,00","199,32M","1,10%"
"18.08.2024","11.278,10","10.968,38","11.292,25","10.968,00","76,13M","3,00%"
"11.08.2024","10.949,70","10.673,70","10.961,60","10.610,00","68,79M","2,93%"
"04.08.2024","10.638,50","10.412,10","10.688,95","10.293,30","63,17M","-0,32%"
"28.07.2024","10.672,90","11.212,00","11.255,00","10.640,30","187,82M","-4,42%"
"21.07.2024","11.165,90","11.152,00","11.248,88","11.012,04","86,56M","0,71%"
"14.07.2024","11.087,50","11.225,00","11.225,90","11.015,80","481,77M","-1,45%"
