"","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"1","Asesores","T","Colombia",0.063,30,0.13
"2","Asesores","T","Colombia",0.063,729,0.89
"3","Asesores","T","Mexico",0.026,15,0.1
"4","Asesores","T","Mexico",0.026,14,0.1
"5","Asesores","T","CostaRica",0.086,446,0.76
"6","Asesores","T","CostaRica",0.086,14,0.16
"7","Asesores","T","Colombia",0.063,584,0.7
"8","Asesores","T","Mexico",0.026,0,0
"9","Asesores","T","Mexico",0.026,8,0.1
"10","Asesores","T","Ecuador",0.226,679,2.78
"11","Asesores","T","Colombia",0.063,0,0
"12","UCC","T","Mexico",0.026,0,0
"13","UCC","T","Mexico",0.026,9,0.1
"14","UCC","T","Mexico",0.026,14,0.1
"15","UCC","T","Mexico",0.026,17,0.1
"16","UCC","T","Mexico",0.026,53,0.1
"17","UCC","T","Mexico",0.026,13,0.1
"18","UCC","T","Mexico",0.026,204,0.17
"19","UCC","T","Mexico",0.026,49,0.1
"20","UCC","T","Mexico",0.026,0,0
"21","UCC","T","Mexico",0.026,0,0
"22","Asesores","T","Mexico",0.007,0,0
"23","UCC","T","Mexico",0.026,0,0
"24","UCC","T","Mexico",0.026,0,0
"25","UCC","T","Mexico",0.026,0,0
"26","UCC","T","Mexico",0.026,278,0.2
"27","UCC","T","Mexico",0.026,50,0.1
"28","","T","CostaRica",0.086,2,0.16
"29","UCC","T","Mexico",0.026,28,0.1
"30","Asesores","T","Mexico",0.026,0,0
"31","UCC","T","Mexico",0.007,0,0
"32","UCC","T","Mexico",0.026,0,0
"33","UCC","T","Mexico",0.026,0,0
"34","UCC","T","Mexico",0.026,0,0
"35","UCC","T","Mexico",0.026,0,0
"36","UCC","T","Mexico",0.026,0,0
"37","UCC","T","Mexico",0.026,99,0.12
"38","UCC","T","Mexico",0.026,0,0
"39","UCC","T","Mexico",0.026,0,0
"40","Asesores","T","Mexico",0.026,0,0
"41","Asesores","T","Mexico",0.007,0,0
"42","UCC","T","Mexico",0.026,112,0.12
"43","UCC","T","Mexico",0.026,75,0.12
"44","UCC","T","Mexico",0.026,35,0.1
"45","UCC","T","Mexico",0.026,0,0
"46","UCC","T","Mexico",0.026,0,0
"47","UCC","T","Mexico",0.026,102,0.12
"48","UCC","T","Mexico",0.007,0,0
"49","UCC","T","Mexico",0.026,0,0
"50","UCC","T","Mexico",0.026,0,0
"51","UCC","T","Mexico",0.026,109,0.12
"52","UCC","T","Mexico",0.026,0,0
"53","UCC","T","Mexico",0.026,0,0
"54","Asesores","T","Mexico",0.007,0,0
"55","Asesores","T","Mexico",0.026,0,0
"56","UCC","T","Mexico",0.026,0,0
"57","UCC","T","Mexico",0.026,0,0
"58","UCC","T","Mexico",0.026,0,0
"59","UCC","T","Mexico",0.026,0,0
"60","UCC","T","Mexico",0.007,1322,0.2
"61","Tutores","T","Nicaragua",0.223,22,0.29
"62","Asesores","T","Mexico",0.026,499,0.3
"63","","T","Brazil",0.111,459,0.96
"64","UCC","T","Mexico",0.007,170,0.06
"65","Asesores","T","Mexico",0.026,523,0.3
"66","UCC","T","Mexico",0.026,45,0.1
"67","UCC","T","Mexico",0.026,0,0
"68","UCC","T","Mexico",0.007,0,0
"69","","T","Chile",0.153,0,0
"70","UCC","T","Mexico",0.026,130,0.15
"71","Tutores","T","Colombia",0.063,190,0.32
"72","UCC","T","Spain",0.021,347,0.17
"73","Tutores","T","Spain",0.09,10,0.16
"74","Tutores","T","Belgium",0.067,3,0.14
"75","Tutores","T","Ecuador",0.226,23,0.3
"76","Asesores","T","Mexico",0.026,0,0
"77","UCC","T","Spain",0.021,857,0.36
"78","Tutores","T","Belgium",0.067,173,0.27
"79","Asesores","T","Mexico",0.026,0,0
"80","Tutores","T","Ecuador",0.226,102,0.52
"81","Tutores","T","Ecuador",0.226,29,0.3
"82","UCC","T","Mexico",0.026,53,0.1
"83","UCC","T","Mexico",0.007,0,0
"84","UCC","T","Mexico",0.026,0,0
"85","UCC","T","Mexico",0.026,0,0
"86","UCC","T","Mexico",0.026,186,0.17
"87","UCC","T","Mexico",0.026,50,0.1
"88","UCC","T","Mexico",0.007,0,0
"89","","T","USA",0.021,464,0.21
"90","Tutores","T","Andorra",0.05,0,0
"91","Tutores","T","Sweden",0.09,4,0.16
"92","Tutores","T","Sweden",0.09,14,0.16
"93","Asesores","T","Mexico",0.026,1,0.1
"94","Asesores","T","Colombia",0.063,88,0.2
"95","Asesores","T","Mexico",0.026,95,0.12
"96","Asesores","T","Mexico",0.026,0,0
"97","Asesores","T","Uruguay",0.239,2,0.31
"98","Asesores","T","Colombia",0.063,0,0
"99","Asesores","T","Uruguay",0.239,2,0.31
"100","Asesores","T","Mexico",0.007,11,0.05
"101","Asesores","T","Colombia",0.063,66,0.2
"102","Asesores","T","Colombia",0.063,0,0
"103","UCC","T","Mexico",0.026,108,0.12
"104","UCC","T","Mexico",0.026,0,0
"105","UCC","T","Mexico",0.026,99,0.12
"106","UCC","T","Mexico",0.026,0,0
"107","UCC","T","Mexico",0.026,0,0
"108","UCC","T","Mexico",0.026,44,0.1
"109","UCC","T","Mexico",0.007,0,0
"110","UCC","T","Mexico",0.026,0,0
"111","UCC","T","Mexico",0.026,0,0
"112","UCC","T","Mexico",0.026,0,0
"113","","T","Mexico",0.026,0,0
