"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"1",1,"Asesores","T","America",0.063,30,0.13
"2",2,"Asesores","T","America",0.063,729,0.89
"3",3,"Asesores","T","America",0.026,15,0.1
"4",4,"Asesores","T","America",0.026,14,0.1
"5",5,"Asesores","T","America",0.086,446,0.76
"6",6,"Asesores","T","America",0.086,14,0.16
"7",7,"Asesores","T","America",0.063,584,0.7
"8",8,"Asesores","T","America",0.026,0,0
"9",9,"Asesores","T","America",0.026,8,0.1
"10",10,"Asesores","T","America",0.226,679,2.78
"11",11,"Asesores","T","America",0.063,0,0
"12",12,"Otros","T","America",0.026,0,0
"13",13,"Otros","T","America",0.026,9,0.1
"14",14,"Otros","T","America",0.026,14,0.1
"15",15,"Otros","T","America",0.026,17,0.1
"16",16,"Otros","T","America",0.026,53,0.1
"17",17,"Otros","T","America",0.026,13,0.1
"18",18,"Otros","T","America",0.026,204,0.17
"19",19,"Otros","T","America",0.026,49,0.1
"20",20,"Otros","T","America",0.026,0,0
"21",21,"Otros","T","America",0.026,0,0
"22",22,"Asesores","T","America",0.007,0,0
"23",23,"Otros","T","America",0.026,0,0
"24",24,"Otros","T","America",0.026,0,0
"25",25,"Otros","T","America",0.026,0,0
"26",26,"Otros","T","America",0.026,278,0.2
"27",27,"Otros","T","America",0.026,50,0.1
"28",28,"","T","America",0.086,2,0.16
"29",29,"Otros","T","America",0.026,28,0.1
"30",30,"Asesores","T","America",0.026,0,0
"31",31,"Otros","T","America",0.007,0,0
"32",32,"Otros","T","America",0.026,0,0
"33",33,"Otros","T","America",0.026,0,0
"34",34,"Otros","T","America",0.026,0,0
"35",35,"Otros","T","America",0.026,0,0
"36",36,"Otros","T","America",0.026,0,0
"37",37,"Otros","T","America",0.026,99,0.12
"38",38,"Otros","T","America",0.026,0,0
"39",39,"Otros","T","America",0.026,0,0
"40",40,"Asesores","T","America",0.026,0,0
"41",41,"Asesores","T","America",0.007,0,0
"42",42,"Otros","T","America",0.026,112,0.12
"43",43,"Otros","T","America",0.026,75,0.12
"44",44,"Otros","T","America",0.026,35,0.1
"45",45,"Otros","T","America",0.026,0,0
"46",46,"Otros","T","America",0.026,0,0
"47",47,"Otros","T","America",0.026,102,0.12
"48",48,"Otros","T","America",0.007,0,0
"49",49,"Otros","T","America",0.026,0,0
"50",50,"Otros","T","America",0.026,0,0
"51",51,"Otros","T","America",0.026,109,0.12
"52",52,"Otros","T","America",0.026,0,0
"53",53,"Otros","T","America",0.026,0,0
"54",54,"Asesores","T","America",0.007,0,0
"55",55,"Asesores","T","America",0.026,0,0
"56",56,"Otros","T","America",0.026,0,0
"57",57,"Otros","T","America",0.026,0,0
"58",58,"Otros","T","America",0.026,0,0
"59",59,"Otros","T","America",0.026,0,0
"60",60,"Otros","T","America",0.007,1322,0.2
"61",61,"Educacion","T","America",0.223,22,0.29
"62",62,"Asesores","T","America",0.026,499,0.3
"63",63,"","T","America",0.111,459,0.96
"64",64,"Otros","T","America",0.007,170,0.06
"65",65,"Asesores","T","America",0.026,523,0.3
"66",66,"Otros","T","America",0.026,45,0.1
"67",67,"Otros","T","America",0.026,0,0
