"id","Age","Citizenship","Status","Lifeboat","Adult.Minor","Sex","Survived","Pasajero","Class"
"1",38,"British","Married","No","Adult","Male","Lost","Crew","Band"
"2",37,"British","Married","No","Adult","Male","Lost","Crew","Band"
"3",30,"British","Married","No","Adult","Male","Saved","Crew","Band"
"4",25,"British","Married","No","Adult","Male","Saved","Crew","Band"
"5",27,"British","Married","No","Adult","Male","Saved","Crew","Band"
"6",48,"British","Single","No","Adult","Male","Lost","Crew","Deck"
"7",32.7167051578137,"Norwegian","Single","No","Adult","Male","Lost","Crew","Deck"
"8",32.7167051578137,"British","Single","Si","Adult","Male","Saved","Crew","Deck"
"9",24,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"10",19,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"11",57,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"12",50,"British","Single","No","Adult","Male","Lost","Crew","Deck"
"13",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"14",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"15",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"16",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"17",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"18",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"19",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"20",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"21",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"22",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"23",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"24",25,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"25",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"26",56,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"27",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"28",41,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"29",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"30",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"31",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"32",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"33",19,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"34",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"35",33,"British","Single","Si","Adult","Male","Saved","Crew","Deck"
"36",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Deck"
"37",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Deck"
"38",50,"British","Otros","No","Adult","Male","Lost","Crew","Deck"
"39",29,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"40",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Deck"
"41",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Deck"
"42",38,"British","Single","No","Adult","Male","Lost","Crew","Deck"
