_id,Clase,Sexo,Edad,Precio,Survived
6556485875c55bb9905fc954,P,female,A,A,Si
6556485875c55bb9905fc955,P,female,A,A,Si
6556485875c55bb9905fc956,S,female,J,B,Si
6556485875c55bb9905fc957,P,female,M,B,Si
6556485875c55bb9905fc958,S,female,M,B,Si
6556485875c55bb9905fc959,P,female,A,A,Si
6556485875c55bb9905fc95a,S,female,A,B,No
6556485875c55bb9905fc95b,S,female,N,A,Si
6556485875c55bb9905fc95c,P,female,M,A,Si
6556485875c55bb9905fc95d,S,female,A,B,Si
6556485875c55bb9905fc95e,S,female,J,C,Si
6556485875c55bb9905fc95f,S,female,N,B,Si
6556485875c55bb9905fc960,P,female,A,A,Si
6556485875c55bb9905fc961,S,female,A,C,Si
6556485875c55bb9905fc962,S,female,J,C,Si
6556485875c55bb9905fc963,P,female,J,A,Si
6556485875c55bb9905fc964,S,female,A,B,Si
6556485875c55bb9905fc965,S,female,A,C,Si
6556485875c55bb9905fc966,S,female,A,B,Si
6556485875c55bb9905fc967,P,female,J,B,Si
6556485875c55bb9905fc968,P,female,J,A,Si
6556485875c55bb9905fc969,S,female,A,B,Si
6556485875c55bb9905fc96a,P,female,A,A,Si
6556485875c55bb9905fc96b,P,female,M,B,No
6556485875c55bb9905fc96c,S,female,A,C,Si
6556485875c55bb9905fc96d,P,female,M,B,Si
6556485875c55bb9905fc96e,P,female,M,A,Si
6556485875c55bb9905fc96f,S,female,J,C,No
6556485875c55bb9905fc970,S,female,A,B,Si
6556485875c55bb9905fc971,P,female,A,A,Si
6556485875c55bb9905fc972,P,female,A,A,Si
6556485875c55bb9905fc973,P,female,A,A,Si
6556485875c55bb9905fc974,S,female,N,B,Si
6556485875c55bb9905fc975,S,female,J,C,Si
6556485875c55bb9905fc976,P,female,A,A,Si
6556485875c55bb9905fc977,P,female,A,A,Si
6556485875c55bb9905fc978,P,female,A,A,Si
6556485875c55bb9905fc979,S,female,M,B,Si
6556485875c55bb9905fc97a,P,female,M,A,Si
6556485875c55bb9905fc97b,P,female,A,A,Si
6556485875c55bb9905fc97c,S,female,M,B,Si
6556485875c55bb9905fc97d,P,female,M,A,Si
6556485875c55bb9905fc97e,P,female,A,A,Si
6556485875c55bb9905fc97f,P,female,J,A,Si
6556485875c55bb9905fc980,P,female,N,A,No
6556485875c55bb9905fc981,P,female,M,A,Si
6556485875c55bb9905fc982,S,female,A,C,Si
6556485875c55bb9905fc983,P,female,A,A,Si
6556485875c55bb9905fc984,P,female,J,A,Si
6556485875c55bb9905fc985,P,female,A,A,Si
6556485875c55bb9905fc986,P,female,J,A,Si
6556485875c55bb9905fc987,P,female,J,A,Si
6556485875c55bb9905fc988,S,female,A,B,No
6556485875c55bb9905fc989,S,female,J,B,Si
6556485875c55bb9905fc98a,P,female,A,A,Si
6556485875c55bb9905fc98b,P,female,A,A,Si
6556485875c55bb9905fc98c,S,female,A,C,Si
6556485875c55bb9905fc98d,S,female,J,B,Si
6556485875c55bb9905fc98e,P,female,A,A,Si
6556485875c55bb9905fc98f,S,female,A,C,Si
