"","X.MYCT.","X.MMIN.","X.MMAX.","X.CACH.","X.CHMIN.","X.CHMAX.","X.class."
"1",125,256,6000,256,16,128,"Bajo"
"2",29,8000,32000,32,8,32,"Bajo"
"3",29,8000,32000,32,8,32,"Bajo"
"4",29,8000,32000,32,8,32,"Bajo"
"5",29,8000,16000,32,8,16,"Bajo"
"6",26,8000,32000,64,8,32,"Medio"
"7",23,16000,32000,64,16,32,"Medio"
"8",23,16000,32000,64,16,32,"Medio"
"9",23,16000,64000,64,16,32,"Alto"
"10",23,32000,64000,128,32,64,"Muy alto"
"11",400,1000,3000,0,1,2,"Bajo"
"12",400,512,3500,4,1,6,"Bajo"
"13",60,2000,8000,65,1,8,"Bajo"
"14",50,4000,16000,65,1,8,"Bajo"
"15",350,64,64,0,1,4,"Bajo"
"16",200,512,16000,0,4,32,"Bajo"
"17",167,524,2000,8,4,15,"Bajo"
"18",143,512,5000,0,7,32,"Bajo"
"19",143,1000,2000,0,5,16,"Bajo"
"20",110,5000,5000,142,8,64,"Bajo"
"21",143,1500,6300,0,5,32,"Bajo"
"22",143,3100,6200,0,5,20,"Bajo"
"23",143,2300,6200,0,6,64,"Bajo"
"24",110,3100,6200,0,6,64,"Bajo"
"25",320,128,6000,0,1,12,"Bajo"
"26",320,512,2000,4,1,3,"Bajo"
"27",320,256,6000,0,1,6,"Bajo"
"28",320,256,3000,4,1,3,"Bajo"
"29",320,512,5000,4,1,5,"Bajo"
"30",320,256,5000,4,1,6,"Bajo"
"31",25,1310,2620,131,12,24,"Bajo"
"32",25,1310,2620,131,12,24,"Medio"
"33",50,2620,10480,30,12,24,"Bajo"
"34",50,2620,10480,30,12,24,"Bajo"
"35",56,5240,20970,30,12,24,"Bajo"
"36",64,5240,20970,30,12,24,"Bajo"
"37",50,500,2000,8,1,4,"Bajo"
"38",50,1000,4000,8,1,5,"Bajo"
"39",50,2000,8000,8,1,5,"Bajo"
"40",50,1000,4000,8,3,5,"Bajo"
"41",50,1000,8000,8,3,5,"Bajo"
"42",50,2000,16000,8,3,5,"Bajo"
"43",50,2000,16000,8,3,6,"Bajo"
"44",50,2000,16000,8,3,6,"Bajo"
"45",133,1000,12000,9,3,12,"Bajo"
"46",133,1000,8000,9,3,12,"Bajo"
"47",810,512,512,8,1,1,"Bajo"
"48",810,1000,5000,0,1,1,"Bajo"
"49",320,512,8000,4,1,5,"Bajo"
"50",200,512,8000,8,1,8,"Bajo"
"51",700,384,8000,0,1,1,"Bajo"
"52",700,256,2000,0,1,1,"Bajo"
"53",140,1000,16000,16,1,3,"Bajo"
"54",200,1000,8000,0,1,2,"Bajo"
"55",110,1000,4000,16,1,2,"Bajo"
"56",110,1000,12000,16,1,2,"Bajo"
"57",220,1000,8000,16,1,2,"Bajo"
"58",800,256,8000,0,1,4,"Bajo"
"59",800,256,8000,0,1,4,"Bajo"
"60",800,256,8000,0,1,4,"Bajo"
"61",800,256,8000,0,1,4,"Bajo"
"62",800,256,8000,0,1,4,"Bajo"
"63",125,512,1000,0,8,20,"Bajo"
"64",75,2000,8000,64,1,38,"Bajo"
"65",75,2000,16000,64,1,38,"Bajo"
"66",75,2000,16000,128,1,38,"Bajo"
"67",90,256,1000,0,3,10,"Bajo"
"68",105,256,2000,0,3,10,"Bajo"
"69",105,1000,4000,0,3,24,"Bajo"
"70",105,2000,4000,8,3,19,"Bajo"
"71",75,2000,8000,8,3,24,"Bajo"
"72",75,3000,8000,8,3,48,"Bajo"
"73",175,256,2000,0,3,24,"Bajo"
"74",300,768,3000,0,6,24,"Bajo"
"75",300,768,3000,6,6,24,"Bajo"
"76",300,768,12000,6,6,24,"Bajo"
"77",300,768,4500,0,1,24,"Bajo"
"78",300,384,12000,6,1,24,"Bajo"
"79",300,192,768,6,6,24,"Bajo"
"80",180,768,12000,6,1,31,"Bajo"
"81",330,1000,3000,0,2,4,"Bajo"
"82",300,1000,4000,8,3,64,"Bajo"
"83",300,1000,16000,8,2,112,"Bajo"
"84",330,1000,2000,0,1,2,"Bajo"
"85",330,1000,4000,0,3,6,"Bajo"
"86",140,2000,4000,0,3,6,"Bajo"
"87",140,2000,4000,0,4,8,"Bajo"
"88",140,2000,4000,8,1,20,"Bajo"
"89",140,2000,32000,32,1,20,"Bajo"
"90",140,2000,8000,32,1,54,"Bajo"
"91",140,2000,32000,32,1,54,"Bajo"
"92",140,2000,32000,32,1,54,"Bajo"
"93",140,2000,4000,8,1,20,"Bajo"
"94",57,4000,16000,1,6,12,"Bajo"
"95",57,4000,24000,64,12,16,"Bajo"
"96",26,16000,32000,64,16,24,"Medio"
"97",26,16000,32000,64,8,24,"Medio"
"98",26,8000,32000,0,8,24,"Bajo"
"99",26,8000,16000,0,8,16,"Bajo"
"100",480,96,512,0,1,1,"Bajo"
"101",203,1000,2000,0,1,5,"Bajo"
"102",115,512,6000,16,1,6,"Bajo"
"103",1100,512,1500,0,1,1,"Bajo"
"104",1100,768,2000,0,1,1,"Bajo"
"105",600,768,2000,0,1,1,"Bajo"
"106",400,2000,4000,0,1,1,"Bajo"
"107",400,4000,8000,0,1,1,"Bajo"
"108",900,1000,1000,0,1,2,"Bajo"
"109",900,512,1000,0,1,2,"Bajo"
"110",900,1000,4000,4,1,2,"Bajo"
"111",900,1000,4000,8,1,2,"Bajo"
"112",900,2000,4000,0,3,6,"Bajo"
"113",225,2000,4000,8,3,6,"Bajo"
"114",225,2000,4000,8,3,6,"Bajo"
"115",180,2000,8000,8,1,6,"Bajo"
"116",185,2000,16000,16,1,6,"Bajo"
"117",180,2000,16000,16,1,6,"Bajo"
"118",225,1000,4000,2,3,6,"Bajo"
"119",25,2000,12000,8,1,4,"Bajo"
"120",25,2000,12000,16,3,5,"Bajo"
"121",17,4000,16000,8,6,12,"Bajo"
"122",17,4000,16000,32,6,12,"Bajo"
"123",1500,768,1000,0,0,0,"Bajo"
"124",1500,768,2000,0,0,0,"Bajo"
"125",800,768,2000,0,0,0,"Bajo"
"126",50,2000,4000,0,3,6,"Bajo"
"127",50,2000,8000,8,3,6,"Bajo"
"128",50,2000,8000,8,1,6,"Bajo"
"129",50,2000,16000,24,1,6,"Bajo"
"130",50,2000,16000,24,1,6,"Bajo"
"131",50,8000,16000,48,1,10,"Bajo"
"132",100,1000,8000,0,2,6,"Bajo"
"133",100,1000,8000,24,2,6,"Bajo"
"134",100,1000,8000,24,3,6,"Bajo"
"135",50,2000,16000,12,3,16,"Bajo"
"136",50,2000,16000,24,6,16,"Bajo"
"137",50,2000,16000,24,6,16,"Bajo"
"138",150,512,4000,0,8,128,"Bajo"
"139",115,2000,8000,16,1,3,"Bajo"
